top - 11:09:42 up  4:14,  1 user,  load average: 0.12, 0.11, 0.13
   1762 kali      20   0  534104   8936   7912 S   0.0   0.1   0:00.12 gvfsd-t+
   1785 kali      20   0  828304  77620  56868 S   0.0   0.9   0:38.82 qtermin+
   1799 kali      20   0  704412  19532  16204 S   0.0   0.2   0:00.37 xdg-des+
   1806 kali      20   0  308748   6344   5960 S   0.0   0.1   0:00.02 xdg-per+
   1819 kali      20   0  538676   6728   6216 S   0.0   0.1   0:00.17 xdg-doc+
   1825 root      20   0    2584   1816   1816 S   0.0   0.0   0:00.00 fusermo+
   1829 kali      20   0  479320  19164  16348 S   0.0   0.2   0:00.41 xdg-des+
   1841 kali      20   0   10596   6152   3904 S   0.0   0.1   0:00.22 zsh
   1938 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3212 root      20   0       0      0      0 I   0.0   0.0   0:00.31 kworker+
   3621 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
   3835 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3869 kali      20   0  406464 146680  52804 S   0.0   1.7   0:22.06 sublime+
   3878 kali      20   0  152320   2452   2324 S   0.0   0.0   0:00.00 crash_h+
   3898 kali      20   0   50980  25780   7216 S   0.0   0.3   0:01.23 plugin_+
   3901 kali      20   0   61564  35284  10164 S   0.0   0.4   0:05.41 plugin_+
   3944 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
   3945 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4161 root      20   0       0      0      0 I   0.0   0.0   0:01.47 kworker+
   4415 root      20   0   19040   9144   7992 S   0.0   0.1   0:00.96 systemd+
   4662 kali      20   0   10596   6748   4200 S   0.0   0.1   0:00.23 zsh
   4881 kali      20   0   10684   7192   4396 S   0.0   0.1   0:01.25 zsh
   5285 kali      20   0   10776   7112   4124 S   0.0   0.1   0:03.01 zsh
   5319 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker+
   5335 kali      20   0   10604   6528   4188 S   0.0   0.1   0:00.14 zsh
   5403 kali      20   0  107208  72988  22144 S   0.0   0.8   0:00.36 python3
   5406 kali      20   0   44880  28836  16760 S   0.0   0.3   0:00.14 python3
   5550 kali      20   0   11.4g 528308 264840 S   0.0   6.1   3:15.30 firefox+
   5629 kali      20   0  214176  43772  35452 S   0.0   0.5   0:00.08 Socket +
   5651 kali      20   0 2486400 137236  94124 S   0.0   1.6   0:04.32 Privile+
   5686 root      20   0  257148   7036   6140 S   0.0   0.1   0:00.08 pcscd
   5698 kali      20   0 2446088 107948  87072 S   0.0   1.2   0:02.75 file://+
   5729 kali      20   0 2445180  97680  78156 S   0.0   1.1   0:01.97 WebExte+
   5792 kali      20   0  211384  42008  33944 S   0.0   0.5   0:00.26 Utility+
   5812 kali      20   0 2593372 172656 104392 S   0.0   2.0   0:25.07 Isolate+
   6327 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6457 kali      20   0  118492   8348   4424 S   0.0   0.1   0:01.15 speech-+
   6486 kali      20   0       0      0      0 Z   0.0   0.0   0:00.13 sd_espe+
   6509 kali      20   0   24192   8952   5496 S   0.0   0.1   0:00.11 sd_espe+
   6510 kali      20   0  163724   5628   4988 S   0.0   0.1   0:00.80 sd_dummy
   6513 kali      20   0   24260   8924   5468 S   0.0   0.1   0:00.05 sd_espe+
   6575 root      20   0       0      0      0 I   0.0   0.0   0:00.39 kworker+
   6828 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7059 kali      20   0 2422704  88716  76012 S   0.0   1.0   0:01.02 Isolate+
   7088 kali      20   0 2426800  91980  78324 S   0.0   1.1   0:01.07 Isolate+
   7110 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
   7111 kali      20   0 2423732  90364  76968 S   0.0   1.0   0:00.91 Isolate+
   7171 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
   7179 kali      20   0 2424792  90888  77384 S   0.0   1.1   0:00.89 Isolate+
   7202 kali      20   0 2419828  85644  73096 S   0.0   1.0   0:00.88 Isolate+
   7268 kali      20   0 2419800  87876  74992 S   0.0   1.0   0:00.89 Isolate+
   7292 kali      20   0 2419828  85212  72656 S   0.0   1.0   0:00.87 Isolate+
   7316 kali      20   0 2420060  86140  73456 S   0.0   1.0   0:00.86 Isolate+
   7339 kali      20   0 2423976  90276  77004 S   0.0   1.0   0:00.95 Isolate+
   7408 kali      20   0 2484780 125904  94652 S   0.0   1.5   0:11.41 Isolate+
   7413 kali      20   0 2519960 168060  95756 S   0.0   1.9   0:06.21 Isolate+
   7524 kali      20   0 2404544  74432  62400 S   0.0   0.9   0:00.60 Web Con+
   7564 kali      20   0 2404540  74140  62236 S   0.0   0.9   0:00.60 Web Con+
   7660 kali      20   0 2404540  73928  62152 S   0.0   0.9   0:00.71 Web Con+
   7899 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10473 kali      20   0 3760552  90672  23688 S   0.0   1.0   0:17.42 python3
  10947 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker+
  11054 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
  11055 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
  11070 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
  11142 kali      20   0   21292  14400   7296 S   0.0   0.2   0:00.05 python3
  11188 kali      20   0       0      0      0 Z   0.0   0.0   0:00.00 xdg-open
  11285 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  11286 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  11563 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
